allez,alez
seoir,soir
arrive,arive
allons,alons
plaît,plait
connais,conais
aujourd'hui,aujourd'ui
pourrait,pourait
attendez,atendez
ceux,ceus
suffit,sufit
arrêtez,arêtez
attend,atend
commence,comence
occupe,ocupe
sûrement,surement
allait,alait
connaissez,conaissez
allé,alé
sûre,sure
appris,apris
maître,maitre
donnez,donez
rappelle,rapèle
fallait,falait
crû,cru
connait,conait
connaît,conait
commencé,comencé
apprendre,aprendre
appelez,apelez
suppose,supose
mettez,métez
pourra,poura
dîner,diner
pourriez,pouriez
paraît,parait
verra,véra
viennent,viènent
boîte,boite
croît,croit
apporte,aporte
asseoir,assoir
quitté,quité
habite,abite
attendais,atendais
arrivent,arivent
faîte,faite
fût,fut
apporté,aporté
arrivera,arivera
pardonne,pardone
regrette,regrète
goût,gout
île,ile
permettez,permétez
appelait,apelait
pourrai,pourai
appartient,apartient
attendant,atendant
week-end,weekend
coûte,coute
pourrez,pourez
supplie,suplie
reconnais,reconais
attendent,atendent
rappelez,rapelez
verrez,vérez
pardonnez,pardonez
connaissais,conaissais
brûle,brule
accompagne,acompagne
pourraient,pouraient
apprécie,aprécie
recommence,recomence
verrai,vérai
sonne,sone
souffre,soufre
donnerai,donerai
mûrs,murs
supporte,suporte
chaîne,chaine
revolver,révolver
prennent,prènent
approchez,aprochez
disparaître,disparaitre
apprend,aprend
maîtresse,maitresse
attendait,atendait
donnera,donera
pourrions,pourions
abandonne,abandone
appellent,apèlent
fallu,falu
fonctionne,fonctione
brûler,bruler
arrivait,arivait
arrange,arange
traîner,trainer
attendons,atendons
étonne,étone
rapporte,raporte
téléphoné,téléfoné
appellerai,apèlerai
brûlé,brulé
attaqué,ataqué
connaissait,conaissait
enterré,entéré
donnent,donent
quittez,quitez
entraînement,entrainement
allume,alume
attrapé,atrapé
traître,traitre
attendrai,atendrai
apportez,aportez
souffert,soufert
connaissent,conaissent
arrangé,arangé
mettent,mètent
commencez,comencez
sûrs,surs
mignonne,mignone
démarre,démare
accorde,acorde
habille,abille
échappe,échape
ordonne,ordone
allaient,alaient
alliez,aliez
donnait,donait
goûter,gouter
mettons,métons
reviennent,reviènent
entraîner,entrainer
occupez,ocupez
ciao,tchao
paraître,paraitre
commençons,començons
pourrons,pourons
mettra,métra
attrapez,atrapez
commandé,comandé
traîne,traine
appuie,apuie
arrêtera,arêtera
coûté,couté
reverra,revéra
deviennent,deviènent
suffira,sufira
correspond,corespond
connaissiez,conaissiez
événement,évènement
fraîche,fraiche
arrache,arache
reconnaissez,reconaissez
attire,atire
déconne,décone
accuse,acuse
arriverai,ariverai
installe,instale
pourront,pouront
naître,naitre
août,aout
coûter,couter
comprennent,comprènent
mettrai,métrai
nettoie,nétoie
étouffe,étoufe
raccompagne,racompagne
connaissons,conaissons
commencent,comencent
tzar,tsar
dégoûtant,dégoutant
tiennent,tiènent
débarrasse,débarasse
entraîne,entraine
apparait,aparait
apparaît,aparait
apprendra,aprendra
arriverait,ariverait
installé,instalé
annulé,anulé
connaisse,conaisse
reconnait,reconait
reconnaît,reconait
arrivez,arivez
étonnerait,étonerait
raccroche,racroche
occuperai,ocuperai
remettez,remétez
enverrai,envérai
occupera,ocupera
saoul,soul
soûl,soul
mettait,métait
disparaît,disparait
goûte,goute
rapproche,raproche
nomme,nome
apprécié,aprécié
appellera,apèlera
arrêtent,arêtent
annoncé,anoncé
flûte,flute
reverrai,revérai
arrêtait,arêtait
habitait,abitait
appartenait,apartenait
battent,batent
habitez,abitez
nourrit,nourit
dégoûte,dégoute
déshabille,désabille
atterri,atéri
allions,alions
poux,pous
arrangera,arangera
appelons,apelons
enterre,entère
interroge,intéroge
entraîné,entrainé
pardonné,pardoné
attendra,atendra
dîne,dine
empoisonné,empoisoné
hésite,ésite
attiré,atiré
accrochez,acrochez
rappellerai,rapèlerai
entraîneur,entraineur
frappez,frapez
apprennent,aprènent
media,média
nettoyé,nétoyé
battez,batez
commençait,començait
piqûre,piqure
dîné,diné
interrogé,intérogé
préoccupe,préocupe
quittée,quitée
appartiens,apartiens
rattrape,ratrape
annule,anule
apprenez,aprenez
promettez,prométez
apprendrai,aprendrai
attendiez,atendiez
coûtera,coutera
relais,relai
goûté,gouté
sûreté,sureté
habitent,abitent
impressionné,impressioné
appartiennent,apartiènent
attaquent,ataquent
traîné,trainé
battait,batait
raccroché,racroché
bonnie,bonie
collé,colé
donnons,donons
installez,instalez
kidnappé,kidnapé
arrêtons,arêtons
verrait,vérait
mentionné,mentioné
suffisait,sufisait
verront,véront
traînée,trainée
occupent,ocupent
apparu,aparu
combattu,combatu
permettra,permétra
apporterai,aporterai
bouffé,boufé
donna,dona
hésitez,ésitez
soupçonne,soupçone
donnerait,donerait
efface,éface
quitterai,quiterai
accroché,acroché
recommande,recomande
arrivons,arivons
accordez,acordez
hérité,érité
dégoût,dégout
enterrée,entérée
décolle,décole
enverra,envéra
maîtriser,maitriser
attaquée,ataquée
remettra,remétra
arriva,ariva
abandonnez,abandonez
accompagné,acompagné
roll,rol
approchent,aprochent
débarrassé,débarassé
mettant,métant
pique-nique,piquenique
appuyez,apuyez
offrez,ofrez
naît,nait
affirme,afirme
chauve-souris,chauvesouris
chauves-souris,chauvesouris
brûlent,brulent
abîmer,abimer
aérienne,aériène
habitue,abitue
coûtent,coutent
emballe,embale
serrez,sérez
arriverez,ariverez
aveux,aveus
fonctionnent,fonctionent
démissionne,démissione
espionne,espione
allumez,alumez
souffrent,soufrent
connaissaient,conaissaient
démissionné,démissioné
matches,matchs
attende,atende
arriveront,ariveront
mettais,métais
attendaient,atendaient
pagaye,pagaille
pagaïe,pagaille
déplaît,déplait
croûte,croute
réchauffe,réchaufe
abîme,abime
souffrez,soufrez
mettrait,métrait
brûlez,brulez
recommencez,recomencez
suffirait,sufirait
apportera,aportera
installée,instalée
commencera,comencera
alla,ala
aîné,ainé
quittera,quitera
siffle,sifle
appelaient,apelaient
rafraîchir,rafraichir
accueille,acueille
pardonnerai,pardonerai
supporté,suporté
accouche,acouche
supposons,suposons
suffi,sufi
attachez,atachez
brûlant,brulant
regretterez,regrèterez
approuve,aprouve
accompagnez,acompagnez
honore,onore
quittent,quitent
affecte,afecte
barrez,barez
permettent,permètent
applaudit,aplaudit
occupait,ocupait
oignon,ognon
supplié,suplié
donnerez,donerez
admettons,admétons
offrent,ofrent
goûtez,goutez
oppose,opose
protégera,protègera
attendions,atendions
apparue,aparue
choux,chous
baronne,barone
apprête,aprête
ego,égo
maîtrise,maitrise
souffrait,soufrait
allongez,alongez
développe,dévelope
rappellera,rapèlera
déconné,déconé
correspondent,corespondent
arrêterai,arêterai
permettrai,permétrai
commença,comença
frotte,frote
apparaissent,aparaissent
recommencé,recomencé
échappent,échapent
hésité,ésité
accueilli,acueilli
attrapent,atrapent
brûlante,brulante
déshabillez,désabillez
pardonnera,pardonera
donneront,doneront
accompagnée,acompagnée
traînait,trainait
habillez,abillez
humilié,umilié
kidnappée,kidnapée
interrompu,intérompu
arriverons,ariverons
contremaître,contremaitre
quittant,quitant
coût,cout
abîmé,abimé
brûlée,brulée
flatté,flaté
assommé,assomé
impressionne,impressione
tequila,téquila
arrangerai,arangerai
raccrochez,racrochez
soupçonné,soupçoné
attaquez,ataquez
jettent,jètent
quittons,quitons
bûcher,bucher
effectué,éfectué
traînent,trainent
scooter,scouteur
attendrons,atendrons
ragoût,ragout
analysé,analisé
apprendrez,aprendrez
arrose,arose
impressionnée,impressionée
remettrai,remétrai
apprécient,aprécient
apprenait,aprenait
lutté,luté
apportait,aportait
frappent,frapent
fraîcheur,fraicheur
accusez,acusez
emballé,embalé
effondre,éfondre
assomme,assome
communique,comunique
connecté,conecté
démarrez,démarez
démarré,démaré
déshonoré,désonoré
interromps,intéromps
reprennent,reprènent
commet,comet
hot-dog,hotdog
permettrait,permétrait
rattrapez,ratrapez
programmé,programé
accouché,acouché
annulée,anulée
renaître,renaitre
arrangerait,arangerait
apportent,aportent
disparaîtra,disparaitra
donniez,doniez
débarrassez,débarassez
annulez,anulez
décollé,décolé
orchestra,orquestra
fonctionné,fonctioné
mûre,mure
affronte,afronte
atterrit,atérit
donnerons,donerons
offrait,ofrait
traînez,trainez
enterrez,entérez
remette,remète
sonnent,sonent
suffisent,sufisent
appartenant,apartenant
nettoyez,nétoyez
quittait,quitait
frappait,frapait
commandez,comandez
attirent,atirent
empoisonnée,empoisonée
souviennent,souviènent
offrons,ofrons
bohémienne,bohémiène
pudding,pouding
reconnaitra,reconaitra
reconnaîtra,reconaitra
approchait,aprochait
aînée,ainée
rappellent,rapèlent
attirée,atirée
sonnait,sonait
redonne,redone
échappera,échapera
aiguë,aigüe
applaudissez,aplaudissez
effondré,éfondré
réjouît,réjouit
battra,batra
reverrez,revérez
arrivaient,arivaient
brûlait,brulait
enflamme,enflame
connaitra,conaitra
connaîtra,conaitra
dénommé,dénomé
ping-pong,pingpong
appellerait,apèlerait
connaissant,conaissant
rapprochez,raprochez
collectionne,colectione
répéterai,répèterai
irrite,irite
haut-parleur,hautparleur
interrompez,intérompez
terrifié,térifié
emprisonné,emprisoné
flatte,flate
soufflez,souflez
gaiement,gaiment
gaîment,gaiment
battrai,batrai
collignon,colignon
soûler,souler
appeliez,apeliez
recommencera,recomencera
méprenez,mèprenez
apportée,aportée
arrêteront,arêteront
donnaient,donaient
boxes,box
entraînée,entrainée
championne,champione
interrogez,intérogez
nourrissent,nourissent
approchons,aprochons
abandonnent,abandonent
scenarii,scénarios
scénarii,scénarios
diffusé,difusé
regretté,regrété
arrangez,arangez
appréciez,apréciez
attrapée,atrapée
endommagé,endomagé
abandonnerai,abandonerai
collée,colée
enchaîné,enchainé
recommençons,recomençons
jetterai,jèterai
supportait,suportait
shampooing,shampoing
mentionne,mentione
brûlure,brulure
mettront,métront
tolérerai,tolèrerai
rattrapé,ratrapé
sécheresse,sècheresse
coûterait,couterait
surnommé,surnomé
chantonne,chantone
supporterai,suporterai
traîneau,traineau
appartenaient,apartenaient
battons,batons
habilles,abiles
klaxonne,klaxone
remettent,remètent
téléphonez,téléfonez
attaquera,ataquera
appartenu,apartenu
occupons,ocupons
permettant,permétant
suffiront,sufiront
admettez,admétez
rappelait,rapelait
abattez,abatez
corrige,corige
déconnez,déconez
rapportez,raportez
supprimé,suprimé
mettiez,métiez
humilie,umilie
accomplit,acomplit
battaient,bataient
supportent,suportent
bûcheron,bucheron
dînez,dinez
pourrit,pourit
rapportera,raportera
apparut,aparut
contiennent,contiènent
illumine,ilumine
jettera,jètera
reconnaissent,reconaissent
remettons,remétons
bûche,buche
efforce,éforce
reconnaisse,reconaisse
sonnez,sonez
accompagnent,acompagnent
attaqueront,ataqueront
téléphonerai,téléfonerai
accrochée,acrochée
attaquons,ataquons
dégoûtante,dégoutante
accompagnait,acompagnait
habitaient,abitaient
permettait,permétait
attirait,atirait
collait,colait
mettrez,métrez
réglera,règlera
accable,acable
pizzeria,pizzéria
annoncez,anoncez
mettrons,métrons
paraîtra,paraitra
supprime,suprime
flippe,flipe
rapportent,raportent
verrouille,vérouille
soûle,soule
attribué,atribué
dînons,dinons
hospitalisé,ospitalisé
rapporterai,raporterai
bouffent,boufent
humiliée,umiliée
interrogée,intérogée
acquitté,acquité
affronté,afronté
attendront,atendront
offrirai,ofrirai
atteindra,ateindra
protégerai,protègerai
rappelons,rapelons
suppliée,supliée
accueillons,acueillons
attaquait,ataquait
marketing,markéting
rallume,ralume
terrifiée,térifiée
effondrée,éfondrée
hallucine,alucine
diffèrent,difèrent
appréciée,apréciée
soutiennent,soutiènent
verrouillé,vérouillé
verriez,vériez
inhabituelle,inabituèle
atteigne,ateigne
quitta,quita
accompagnera,acompagnera
apprise,aprise
croque-mort,croquemort
mettaient,métaient
saccagé,sacagé
affiché,afiché
annoncent,anoncent
attribue,atribue
flattée,flatée
serrent,sèrent
accusent,acusent
apparaitra,aparaitra
apparaîtra,aparaitra
apprécions,aprécions
arrêterait,arêterait
enverrait,envérait
faîne,faine
proviennent,proviènent
souffrira,soufrira
empoisonne,empoisone
brûlera,brulera
chauffé,chaufé
terrorisée,térorisée
abîmée,abimée
emballez,embalez
photographié,fotografié
préférerait,préfèrerait
débarrassée,débarassée
habitons,abitons
recommencent,recomencent
frappera,frapera
voûte,voute
retiennent,retiènent
sonnera,sonera
arracherai,aracherai
arrêta,arêta
collez,colez
frapperai,fraperai
permette,permète
remballe,rembale
affirment,afirment
appela,apela
milieux,milieus
rattrapera,ratrapera
affirmé,afirmé
fouette,fouète
raccompagnée,racompagnée
