old,new
allez,alez
arrive,arive
allons,alons
connais,conais
aujourd'hui,aujourd'ui
pourrait,pourait
attendez,atendez
ceux,ceus
suffit,sufit
arrêtez,arêtez
attend,atend
commence,comence
occupe,ocupe
allait,alait
connaissez,conaissez
allé,alé
appris,apris
donnez,donez
rappelle,rapèle
fallait,falait
connait,conait
commencé,comencé
apprendre,aprendre
appelez,apelez
suppose,supose
mettez,métez
pourra,poura
pourriez,pouriez
verra,véra
viennent,viènent
apporte,aporte
quitté,quité
habite,abite
attendais,atendais
arrivent,arivent
apporté,aporté
arrivera,arivera
pardonne,pardone
regrette,regrète
permettez,permétez
appelait,apelait
pourrai,pourai
appartient,apartient
attendant,atendant
pourrez,pourez
supplie,suplie
reconnais,reconais
attendent,atendent
rappelez,rapelez
verrez,vérez
pardonnez,pardonez
connaissais,conaissais
accompagne,acompagne
pourraient,pouraient
apprécie,aprécie
recommence,recomence
verrai,vérai
sonne,sone
souffre,soufre
donnerai,donerai
supporte,suporte
prennent,prènent
approchez,aprochez
apprend,aprend
attendait,atendait
donnera,donera
pourrions,pourions
abandonne,abandone
appellent,apèlent
fallu,falu
fonctionne,fonctione
arrivait,arivait
arrange,arange
attendons,atendons
étonne,étone
rapporte,raporte
téléphoné,téléfoné
appellerai,apèlerai
attaqué,ataqué
connaissait,conaissait
enterré,entéré
donnent,donent
quittez,quitez
allume,alume
attrapé,atrapé
attendrai,atendrai
apportez,aportez
souffert,soufert
connaissent,conaissent
arrangé,arangé
mettent,mètent
commencez,comencez
mignonne,mignone
démarre,démare
accorde,acorde
habille,abille
échappe,échape
ordonne,ordone
allaient,alaient
alliez,aliez
donnait,donait
mettons,métons
reviennent,reviènent
occupez,ocupez
commençons,començons
pourrons,pourons
mettra,métra
attrapez,atrapez
commandé,comandé
appuie,apuie
arrêtera,arêtera
reverra,revéra
deviennent,deviènent
suffira,sufira
correspond,corespond
connaissiez,conaissiez
arrache,arache
reconnaissez,reconaissez
attire,atire
déconne,décone
accuse,acuse
arriverai,ariverai
installe,instale
pourront,pouront
comprennent,comprènent
mettrai,métrai
nettoie,nétoie
étouffe,étoufe
raccompagne,racompagne
connaissons,conaissons
commencent,comencent
tiennent,tiènent
débarrasse,débarasse
apparait,aparait
apprendra,aprendra
arriverait,ariverait
installé,instalé
annulé,anulé
connaisse,conaisse
reconnait,reconait
arrivez,arivez
étonnerait,étonerait
raccroche,racroche
occuperai,ocuperai
remettez,remétez
enverrai,envérai
occupera,ocupera
mettait,métait
rapproche,raproche
nomme,nome
apprécié,aprécié
appellera,apèlera
arrêtent,arêtent
annoncé,anoncé
reverrai,revérai
arrêtait,arêtait
habitait,abitait
appartenait,apartenait
battent,batent
habitez,abitez
nourrit,nourit
déshabille,désabille
atterri,atéri
allions,alions
poux,pous
arrangera,arangera
appelons,apelons
enterre,entère
interroge,intéroge
pardonné,pardoné
attendra,atendra
empoisonné,empoisoné
hésite,ésite
attiré,atiré
accrochez,acrochez
rappellerai,rapèlerai
frappez,frapez
apprennent,aprènent
nettoyé,nétoyé
battez,batez
commençait,començait
interrogé,intérogé
préoccupe,préocupe
quittée,quitée
appartiens,apartiens
rattrape,ratrape
annule,anule
apprenez,aprenez
promettez,prométez
apprendrai,aprendrai
attendiez,atendiez
habitent,abitent
impressionné,impressioné
appartiennent,apartiènent
attaquent,ataquent
battait,batait
raccroché,racroché
bonnie,bonie
collé,colé
donnons,donons
installez,instalez
kidnappé,kidnapé
arrêtons,arêtons
verrait,vérait
mentionné,mentioné
suffisait,sufisait
verront,véront
occupent,ocupent
apparu,aparu
combattu,combatu
permettra,permétra
apporterai,aporterai
bouffé,boufé
donna,dona
hésitez,ésitez
soupçonne,soupçone
donnerait,donerait
efface,éface
quitterai,quiterai
accroché,acroché
recommande,recomande
arrivons,arivons
accordez,acordez
hérité,érité
enterrée,entérée
décolle,décole
enverra,envéra
attaquée,ataquée
remettra,remétra
arriva,ariva
abandonnez,abandonez
accompagné,acompagné
roll,rol
