abandonna,abandona
abandonnai,abandonai
abandonnaient,abandonaient
abandonnait,abandonait
abandonnâmes,abandonâmes
abandonnant,abandonant
abandonnât,abandonât
abandonnataire,abandonataire
abandonne,abandone
abandonné,abandoné
abandonnée,abandonée
abandonnent,abandonent
abandonnera,abandonera
abandonner,abandoner
abandonnerai,abandonerai
abandonneraient,abandoneraient
abandonnerait,abandonerait
abandonnèrent,abandonèrent
abandonnerez,abandonerez
abandonneriez,abandoneriez
abandonnerions,abandonerions
abandonnerons,abandonerons
abandonneront,abandoneront
abandonneurs,abandoneurs
abandonnez,abandonez
abandonniez,abandoniez
abandonnions,abandonions
abandonnique,abandonique
abandonnons,abandonons
abattage,abatage
abattaient,abataient
abattais,abatais
abattait,abatait
abattant,abatant
abatte,abate
abattée,abatée
abattement,abatement
abattent,abatent
abatteur,abateur
abattez,abatez
abattiez,abatiez
abattions,abations
abattirent,abatirent
abattis,abatis
abattit,abatit
abattoir,abatoir
abattons,abatons
abattra,abatra
abattrai,abatrai
abattraient,abatraient
abattrait,abatrait
abattre,abatre
abattrez,abatrez
abattriez,abatriez
abattrons,abatrons
abattront,abatront
abattu,abatu
abattue,abatue
abattures,abatures
abbatial,abatial
abbatiale,abatiale
abbatiaux,abatiaus
abbaye,abaye
abbé,abé
abbesse,abesse
abbevillien,abevilien
abbevillienne,abeviliène
abdominaux,abdominals
aberrance,abérance
aberrant,abérant
aberrante,abérante
aberration,abération
abhorrais,aborais
abhorrait,aborait
abhorrant,aborant
abhorre,abore
abhorré,aboré
abhorrée,aborée
abhorrer,aborer
abhorrez,aborez
ablette,ablète
abolitionnisme,abolitionisme
abolitionniste,abolitioniste
abondamment,abondament
abonnai,abonai
abonnant,abonant
abonnât,abonât
abonne,abone
abonné,aboné
abonnée,abonée
abonnement,abonement
abonner,aboner
abonnez,abonez
abonnir,abonir
abonnissement,abonissement
aboutonnai,aboutonai
absidaux,absidals
absidiaux,absidials
absinthant,absintant
absinthe,absinte
absinthisme,absintisme
abstentionnisme,abstentionisme
abstentionniste,abstentioniste
