ortho,type,post90,cgram,genre,nombre,infover,lemme
a priori,1,apriori,ADV,,,,a priori
a priori,2,apriori/aprioris,NOM,m,,,a priori
abaisse-langue,2,abaisse-langue/abaisse-langues,NOM,m,,,abaisse-langue
abat-jour,2,abat-jour/abat-jours,NOM,m,,,abat-jour
abat-son,2,abat-son/abat-sons,NOM,m,,,abat-son
abrégera,1,abrègera,VER,,,ind:fut:3s;,abréger
abrégerai,1,abrègerai,VER,,,ind:fut:1s;,abréger
abrégerait,1,abrègerait,VER,,,cnd:pre:3s;,abréger
absous,1,absout,VER,m,,imp:pre:2s;ind:pre:1s;par:pas;par:pas;par:pas;,absoudre
absous,1,absout,ADJ,m,s,,absous
abîma,1,abima,VER,,,ind:pas:3s;,abîmer
abîmai,1,abimai,VER,,,ind:pas:1s;,abîmer
abîmaient,1,abimaient,VER,,,ind:imp:3p;,abîmer
abîmait,1,abimait,VER,,,ind:imp:3s;,abîmer
abîmant,1,abimant,VER,,,par:pre;,abîmer
abîme,1,abime,NOM,m,s,,abîme
abîme,1,abime,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,abîmer
abîment,1,abiment,VER,,,ind:pre:3p;,abîmer
abîmer,1,abimer,VER,,,inf;,abîmer
abîmera,1,abimera,VER,,,ind:fut:3s;,abîmer
abîmerai,1,abimerai,VER,,,ind:fut:1s;,abîmer
abîmerais,1,abimerais,VER,,,cnd:pre:1s;cnd:pre:2s;,abîmer
abîmerait,1,abimerait,VER,,,cnd:pre:3s;,abîmer
abîmeras,1,abimeras,VER,,,ind:fut:2s;,abîmer
abîmerez,1,abimerez,VER,,,ind:fut:2p;,abîmer
abîmeront,1,abimeront,VER,,,ind:fut:3p;,abîmer
abîmes,1,abimes,NOM,m,p,,abîme
abîmes,1,abimes,VER,,,ind:pre:2s;,abîmer
abîmez,1,abimez,VER,,,imp:pre:2p;ind:pre:2p;,abîmer
abîmions,1,abimions,VER,,,ind:imp:1p;,abîmer
abîmons,1,abimons,VER,,,ind:pre:1p;,abîmer
abîmé,1,abimé,VER,m,s,par:pas;,abîmer
abîmée,1,abimée,VER,f,s,par:pas;,abîmer
abîmées,1,abimées,VER,f,p,par:pas;,abîmer
abîmés,1,abimés,VER,m,p,par:pas;,abîmer
accroît,1,accroit,VER,,,ind:pre:3s;,accroître
accroîtra,1,accroitra,VER,,,ind:fut:3s;,accroître
accroîtrait,1,accroitrait,VER,,,cnd:pre:3s;,accroître
accroître,1,accroitre,VER,,,inf;,accroître
accroîtront,1,accroitront,VER,,,ind:fut:3p;,accroître
accédera,1,accèdera,VER,,,ind:fut:3s;,accéder
accéderai,1,accèderai,VER,,,ind:fut:1s;,accéder
accéderaient,1,accèderaient,VER,,,cnd:pre:3p;,accéder
accéderais,1,accèderais,VER,,,cnd:pre:1s;,accéder
accéderait,1,accèderait,VER,,,cnd:pre:3s;,accéder
accéderas,1,accèderas,VER,,,ind:fut:2s;,accéder
accélérera,1,accélèrera,VER,,,ind:fut:3s;,accélérer
accélérerait,1,accélèrerait,VER,,,cnd:pre:3s;,accélérer
accéléreras,1,accélèreras,VER,,,ind:fut:2s;,accélérer
addenda,2,addenda/addendas,NOM,m,,,addenda
addendum,1,addenda,NOM,m,s,,addendum
affréterons,1,affrèterons,VER,,,ind:fut:1p;,affréter
afféterie,1,affèterie,NOM,f,s,,afféterie
afféteries,1,affèteries,NOM,f,p,,afféterie
affût,1,affut,NOM,m,s,,affût
affûta,1,affuta,VER,,,ind:pas:3s;,affûter
affûtage,1,affutage,NOM,m,s,,affûtage
affûtait,1,affutait,VER,,,ind:imp:3s;,affûter
affûtant,1,affutant,VER,,,par:pre;,affûter
affûte,1,affute,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,affûter
affûter,1,affuter,VER,,,inf;,affûter
affûterai,1,affuterai,VER,,,ind:fut:1s;,affûter
affûteur,1,affuteur,NOM,m,s,,affûteur
affûtez,1,affutez,VER,,,imp:pre:2p;,affûter
affûts,1,affuts,NOM,m,p,,affût
affûtât,1,affutât,VER,,,sub:imp:3s;,affûter
affûté,1,affuté,VER,m,s,par:pas;,affûter
affûtée,1,affutée,VER,f,s,par:pas;,affûter
affûtées,1,affutées,VER,f,p,par:pas;,affûter
affûtés,1,affutés,VER,m,p,par:pas;,affûter
agglomérera,1,agglomèrera,VER,,,ind:fut:3s;,agglomérer
