#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
1,abandonnataire,abandonnataire,n.,1,abandonataire
2,abandonné,abandonné,adj.,1,abandoné
2,abandonnée,abandonné,adj.,1,abandonée
3,abandonner,abandonner,v.tr.,1,abandoner
4,abandonnique,abandonnique,adj.,1,abandonique
4,abandonnique,abandonnique,n.,1,abandonique
5,abattage,abattage,n.m.,1,abatage
6,abattant,abattant,n.m.,1,abatant
7,abattée,abattée,n.f.,* 1,abatée
8,abattement,abattement,n.m.,1,abatement
9,abatteur,abatteur,n.m.,1,abateur
10,abattis,abattis,n.m.,* 1,abatis
11,abattoir,abattoir,n.m.,1,abatoir
12,abattre,abattre,v.,1,abatre
13,abattu,abattu,adj.,1,abatu
13,abattue,abattu,adj.,1,abatue
13,abattu,abattu,n.m.,1,abatu
14,abbatial,abbatial,adj.,1,abatial
14,abbatiale,abbatial,adj.,1,abatiale
14,abbatiaux,abbatial,adj.,1 2,abatiaus
15,abbaye,abbaye,n.f.,1,abaye
16,abbé,abbé,n.m.,1,abé
17,abbesse,abbesse,n.f.,1,abesse
18,abbevillien,abbevillien,adj.,1,abevilien
18,abbevillienne,abbevillien,adj.,1,abeviliène
18,abbevillien,abbevillien,n.m.,1,abevilien
19,abdominaux,abdominal,adj.m.pl.,2,abdominaus
19,abdominaux,abdominal,n.m.pl.,2,abdominaus
20,aberrance,aberrance,n.f.,1,abérance
21,aberrant,aberrant,adj.,1,abérant
21,aberrante,aberrant,adj.,1,abérante
22,aberration,aberration,n.f.,1,abération
23,abhorrer,abhorrer,v.tr.,1 3’,aborer
24,ablette,ablette,n.f.,1,ablète
25,abolitionnisme,abolitionnisme,n.m.,1,abolitionisme
26,abolitionniste,abolitionniste,adj.,1,abolitioniste
26,abolitionniste,abolitionniste,n.,1,abolitioniste
27,abondamment,abondamment,adv.,1,abondament
28,abonné,abonné,adj.,1,aboné
28,abonnée,abonné,adj.,1,abonée
28,abonné,abonné,n.,1,aboné
