pre1990,post1990
abîme,abime
abîmer,abimer
accroître,accroitre
acupuncteur,acuponcteur
acupunctrice,acuponctrice
acupuncture,acuponcture
affraîchir,affraichir
affût,affut
affûter,affuter
aiguillier,aiguiller
allegro,allégro
ambiguïté,ambigüité
amoncelle,amoncèle
amoncellement,amoncèlement
antislashes,antislashs
aoûtage,aoutage
aoûtages,aoutages
aoûtat,aoutat
aoûtement,aoutement
aoûteron,aouteron
aoûtiens,aoutiens
apparaître,apparaitre
arboretum,arborétum
arguer,argüer
artefact,artéfact
asseoir,assoir
asterixis,astérixis
auctorialité,autorialité
aînesse,ainesse
aître,aitre
ballottage,ballotage
ballottages,ballotages
ballottement,ballotement
barquerolle,barquerole
barquerolles,barqueroles
benoîte,benoite
benoîtement,benoitement
benoîtes,benoites
bifteck,biftèque
biodiesel,biodiésel
bisaiguë,bisaigüe
bonhomie,bonhommie
bonhomies,bonhommies
bonneterie,bonnèterie
bonneteries,bonnèteries
bonniches,boniches
boulghours,boulgours
bouteillière,bouteillère
boutillier,boutiller
boîtage,boitage
boîte,boite
boîtier,boitier
boîtière,boitière
brasero,braséro
bringeure,bringeüre
brunches,brunchs
brûlement,brulement
brûlements,brulements
brûler,bruler
brûlerie,brulerie
brûleries,bruleries
brûleur,bruleur
brûleuse,bruleuse
brûloir,bruloir
brûloirs,bruloirs
brûlure,brulure
bélître,bélitre
bélîtres,bélitres
bûche,buche
bûcher,bucher
bûcheron,bucheron
bûcheronnage,bucheronnage
bûcheronne,bucheronne
bûcheronner,bucheronner
bûchette,buchette
bûcheur,bucheur
cacahuète,cacahouète
cacahuètes,cacahouètes
cachotterie,cachoterie
cachotteries,cachoteries
cachottier,cachotier
cahute,cahutte
canoës,canoés
caqûre,caqure
caqûres,caqures
chaman,chamane
chancellement,chancèlement
chancellements,chancèlements
chargeure,chargeüre
chariot,charriot
chariotage,charriotage
chariotages,charriotages
chariotée,charriotée
chariotées,charriotées
chaykh,cheik
chaîne,chaine
chaîner,chainer
chaînes,chaines
chaînetier,chainetier
chaînetière,chainetière
chaînier,chainier
chaînière,chainière
chechias,chéchias
cheikhs,cheiks
chevillier,cheviller
cheykh,cheik
chicotte,chicote
ciguë,cigüe
cloître,cloitre
cloîtrer,cloitrer
cloîtres,cloitres
colcothar,colcotar
colcothars,colcotars
combativité,combattivité
combativités,combattivités
comparaître,comparaitre
condottiere,condottière
connaître,connaitre
contiguïté,contigüité
contrebutter,contrebuter
contremaître,contremaitre
contremaîtresse,contremaitresse
coquillier,coquiller
corolle,corole
courbature,courbatture
coût,cout
coûtable,coutable
coûtables,coutables
coûter,couter
